date,PriceStats,CPI
25-11-2009,99.07697,98.79442
26-11-2009,99.07805,98.79442
27-11-2009,99.05978,98.79442
28-11-2009,99.05475,98.79442
29-11-2009,99.02042,98.79442
30-11-2009,99.05318,98.79442
01-12-2009,99.04839,98.86433
02-12-2009,99.0848,98.86433
03-12-2009,99.09013,98.86433
04-12-2009,99.10938,98.86433
05-12-2009,99.10223,98.86433
06-12-2009,99.11892,98.86433
07-12-2009,99.09926,98.86433
08-12-2009,99.05005,98.86433
09-12-2009,99.08427,98.86433
10-12-2009,99.09461,98.86433
11-12-2009,99.08031,98.86433
12-12-2009,99.063,98.86433
13-12-2009,99.02609,98.86433
14-12-2009,98.99758,98.86433
15-12-2009,98.94308,98.86433
16-12-2009,98.93015,98.86433
17-12-2009,98.92709,98.86433
18-12-2009,98.88425,98.86433
19-12-2009,98.86172,98.86433
20-12-2009,98.85206,98.86433
21-12-2009,98.84338,98.86433
22-12-2009,98.79891,98.86433
23-12-2009,98.80123,98.86433
24-12-2009,98.81014,98.86433
25-12-2009,98.80712,98.86433
26-12-2009,98.84167,98.86433
27-12-2009,98.81036,98.86433
28-12-2009,98.82583,98.86433
29-12-2009,98.84764,98.86433
30-12-2009,98.90682,98.86433
31-12-2009,98.96618,98.86433
01-01-2010,99.03578,98.69022
02-01-2010,99.0835,98.69022
03-01-2010,99.10265,98.69022
04-01-2010,99.14952,98.69022
05-01-2010,99.16752,98.69022
06-01-2010,99.18903,98.69022
07-01-2010,99.27104,98.69022
08-01-2010,99.38239,98.69022
09-01-2010,99.44225,98.69022
10-01-2010,99.49422,98.69022
11-01-2010,99.51409,98.69022
12-01-2010,99.54028,98.69022
13-01-2010,99.5853,98.69022
14-01-2010,99.61645,98.69022
15-01-2010,99.6277,98.69022
16-01-2010,99.63167,98.69022
17-01-2010,99.61855,98.69022
18-01-2010,99.61208,98.69022
19-01-2010,99.55711,98.69022
20-01-2010,99.56075,98.69022
21-01-2010,99.55676,98.69022
22-01-2010,99.54829,98.69022
23-01-2010,99.52187,98.69022
24-01-2010,99.4982,98.69022
25-01-2010,99.4957,98.69022
26-01-2010,99.49237,98.69022
27-01-2010,99.48158,98.69022
28-01-2010,99.46909,98.69022
29-01-2010,99.34045,98.69022
30-01-2010,99.31205,98.69022
31-01-2010,99.29047,98.69022
01-02-2010,99.27301,99.02749
02-02-2010,99.24696,99.02749
03-02-2010,99.20384,99.02749
04-02-2010,99.19189,99.02749
05-02-2010,99.18602,99.02749
06-02-2010,99.19509,99.02749
07-02-2010,99.1663,99.02749
08-02-2010,99.26916,99.02749
09-02-2010,99.25861,99.02749
10-02-2010,99.3058,99.02749
11-02-2010,99.31353,99.02749
12-02-2010,99.29006,99.02749
13-02-2010,99.26678,99.02749
14-02-2010,99.24712,99.02749
15-02-2010,99.23279,99.02749
16-02-2010,99.20619,99.02749
17-02-2010,99.24609,99.02749
18-02-2010,99.25792,99.02749
19-02-2010,99.27419,99.02749
20-02-2010,99.30187,99.02749
21-02-2010,99.33363,99.02749
22-02-2010,99.41586,99.02749
23-02-2010,99.4318,99.02749
24-02-2010,99.50804,99.02749
25-02-2010,99.576,99.02749
26-02-2010,99.62564,99.02749
27-02-2010,99.65289,99.02749
28-02-2010,99.64848,99.02749
01-03-2010,99.64179,99.05217
02-03-2010,99.61159,99.05217
03-03-2010,99.62025,99.05217
04-03-2010,99.62949,99.05217
05-03-2010,99.66402,99.05217
06-03-2010,99.70313,99.05217
07-03-2010,99.77351,99.05217
08-03-2010,99.82671,99.05217
09-03-2010,99.84686,99.05217
10-03-2010,99.87911,99.05217
11-03-2010,99.90665,99.05217
12-03-2010,99.94764,99.05217
13-03-2010,99.96262,99.05217
14-03-2010,99.98773,99.05217
15-03-2010,100.013,99.05217
16-03-2010,99.99364,99.05217
17-03-2010,100.024,99.05217
18-03-2010,100.0422,99.05217
19-03-2010,100.0674,99.05217
20-03-2010,100.1056,99.05217
21-03-2010,100.1317,99.05217
22-03-2010,100.1136,99.05217
23-03-2010,100.1225,99.05217
24-03-2010,100.0612,99.05217
25-03-2010,100.0648,99.05217
26-03-2010,100.0526,99.05217
27-03-2010,100.0561,99.05217
28-03-2010,100.0428,99.05217
29-03-2010,100.0933,99.05217
30-03-2010,100.0955,99.05217
31-03-2010,100.0843,99.05217
01-04-2010,100.1111,99.45891
02-04-2010,100.1214,99.45891
03-04-2010,100.1414,99.45891
04-04-2010,100.1758,99.45891
05-04-2010,100.1794,99.45891
06-04-2010,100.216,99.45891
07-04-2010,100.168,99.45891
08-04-2010,100.2058,99.45891
09-04-2010,100.2761,99.45891
10-04-2010,100.3007,99.45891
11-04-2010,100.3181,99.45891
12-04-2010,100.2946,99.45891
13-04-2010,100.293,99.45891
14-04-2010,100.3914,99.45891
15-04-2010,100.4136,99.45891
16-04-2010,100.4455,99.45891
17-04-2010,100.4793,99.45891
18-04-2010,100.4974,99.45891
19-04-2010,100.5139,99.45891
20-04-2010,100.5196,99.45891
21-04-2010,100.6283,99.45891
22-04-2010,100.6277,99.45891
23-04-2010,100.6723,99.45891
24-04-2010,100.6639,99.45891
25-04-2010,100.6729,99.45891
26-04-2010,100.7176,99.45891
27-04-2010,100.7222,99.45891
28-04-2010,100.7635,99.45891
29-04-2010,100.8289,99.45891
30-04-2010,100.8423,99.45891
01-05-2010,100.8534,99.63166
02-05-2010,100.8683,99.63166
03-05-2010,100.8631,99.63166
04-05-2010,100.8846,99.63166
05-05-2010,100.922,99.63166
06-05-2010,100.976,99.63166
07-05-2010,101.0197,99.63166
08-05-2010,101.0112,99.63166
09-05-2010,101.0164,99.63166
10-05-2010,101.0019,99.63166
11-05-2010,101.0095,99.63166
12-05-2010,100.9961,99.63166
13-05-2010,101.02,99.63166
14-05-2010,101.0039,99.63166
15-05-2010,101.0074,99.63166
16-05-2010,100.9612,99.63166
17-05-2010,100.9415,99.63166
18-05-2010,100.9101,99.63166
19-05-2010,100.8891,99.63166
20-05-2010,100.8701,99.63166
21-05-2010,100.8321,99.63166
22-05-2010,100.7946,99.63166
23-05-2010,100.7436,99.63166
24-05-2010,100.7103,99.63166
25-05-2010,100.6913,99.63166
26-05-2010,100.6612,99.63166
27-05-2010,100.6371,99.63166
28-05-2010,100.5891,99.63166
29-05-2010,100.5511,99.63166
30-05-2010,100.5234,99.63166
31-05-2010,100.5186,99.63166
01-06-2010,100.5045,99.70888
02-06-2010,100.4173,99.70888
03-06-2010,100.3849,99.70888
04-06-2010,100.3863,99.70888
05-06-2010,100.3886,99.70888
06-06-2010,100.3783,99.70888
07-06-2010,100.3825,99.70888
08-06-2010,100.3619,99.70888
09-06-2010,100.4038,99.70888
10-06-2010,100.3865,99.70888
11-06-2010,100.3646,99.70888
12-06-2010,100.3534,99.70888
13-06-2010,100.3478,99.70888
14-06-2010,100.3407,99.70888
15-06-2010,100.3346,99.70888
16-06-2010,100.4248,99.70888
17-06-2010,100.4292,99.70888
18-06-2010,100.4461,99.70888
19-06-2010,100.4611,99.70888
20-06-2010,100.4899,99.70888
21-06-2010,100.5098,99.70888
22-06-2010,100.4911,99.70888
23-06-2010,100.5861,99.70888
24-06-2010,100.6237,99.70888
25-06-2010,100.661,99.70888
26-06-2010,100.6617,99.70888
27-06-2010,100.654,99.70888
28-06-2010,100.6765,99.70888
29-06-2010,100.6719,99.70888
30-06-2010,100.7255,99.70888
01-07-2010,100.7504,99.61153
02-07-2010,100.7464,99.61153
03-07-2010,100.731,99.61153
04-07-2010,100.704,99.61153
05-07-2010,100.6772,99.61153
06-07-2010,100.6391,99.61153
07-07-2010,100.8352,99.61153
08-07-2010,100.8212,99.61153
09-07-2010,100.8206,99.61153
10-07-2010,100.8154,99.61153
11-07-2010,100.8077,99.61153
12-07-2010,100.8346,99.61153
13-07-2010,100.8081,99.61153
14-07-2010,100.8524,99.61153
15-07-2010,100.8631,99.61153
16-07-2010,100.8694,99.61153
17-07-2010,100.8751,99.61153
18-07-2010,100.8533,99.61153
19-07-2010,100.8459,99.61153
20-07-2010,100.863,99.61153
21-07-2010,100.8689,99.61153
22-07-2010,100.8511,99.61153
23-07-2010,100.853,99.61153
24-07-2010,100.847,99.61153
25-07-2010,100.864,99.61153
26-07-2010,100.8715,99.61153
27-07-2010,100.9004,99.61153
28-07-2010,101.008,99.61153
29-07-2010,100.9998,99.61153
30-07-2010,100.9997,99.61153
31-07-2010,100.9977,99.61153
01-08-2010,100.9844,99.63257
02-08-2010,100.9732,99.63257
03-08-2010,100.9338,99.63257
04-08-2010,100.9134,99.63257
05-08-2010,100.9639,99.63257
06-08-2010,101.029,99.63257
07-08-2010,101.0714,99.63257
08-08-2010,101.089,99.63257
09-08-2010,101.0741,99.63257
10-08-2010,101.0756,99.63257
11-08-2010,101.0309,99.63257
12-08-2010,101.0177,99.63257
13-08-2010,101.0057,99.63257
14-08-2010,100.9866,99.63257
15-08-2010,100.9655,99.63257
16-08-2010,100.946,99.63257
17-08-2010,100.9469,99.63257
18-08-2010,100.9973,99.63257
19-08-2010,100.9992,99.63257
